번호,제목,평점,평가
15889032,어떤살인,2,와 극단적인 페미영화... 경찰이 잡게 불면 되지 총으로 다 쏴죽이고 대한민국 법이 약자에 블리히고 머 어째?..
15889031,세상을 바꾼 변호인,9,마지막엔 눈물이 났다. 다큐멘터리가 더 정확한건 어쩔수없는거 아닐까... 하는 생각도 들었다.
15889030,오베라는 남자,10,연출력과 연기력 최고의 영화
15889029,스파이더맨: 파 프롬 홈,7,그렇게 잼있지도 나쁘지도 않네요
15889028,어거스트 러쉬,10,10년 전쯤 우연히 보고.. 감동 받았는데.. 문득 생각나서 다시 봐도 감동이 여전한 영화
15889027,청년경찰,10,말이 필요없고이런영화 필요하다. 너네 둘이니까 가능했다 쵝오!!
15889026,명량: 회오리 바다를 향하여,10,저는 나름 잘 봤어요. 배경도 아름답고 자극적이지 않아 좋았어요.
15889024,알리타: 배틀 엔젤,10,그래픽디진다 진짜..어떻게 이렇게 만들수가 있지.. 잡설도 없고 무조건 강강강 액션...알리타2야 나와라 노바 쥑이러 가자~
15889023,스파이더맨: 파 프롬 홈,8,어쩐지 닉퓨리가 좀 어설프다 했어
15889022,어린 의뢰인,10,정말 연기들잘하시네요 마지막 인형동영상이 많이 슬픔니다... 남잔데 눈물이 주르륵나네요 잘봤습니다. 다들 즐거운하루보내세요
15889021,악질경찰,10,기대없이 봤다.  이정도면 9점! 망한걸로 알고있는데 아쉽네
15889020,스파이더맨: 파 프롬 홈,2,"주인공 고딩이라 찌질하다, 이디아 넘기려면 퓨리랑 상의라도 하던지. 증강현실기계를 눈에 착용도  안하고 인식한다는 말도 안되는 이야기에, 영사기로 화면을 보내는대, 사람마다 보는 시점이 다른대 그게 인식이 된다고 우긴디ㅣ"
15889019,스파이더맨: 파 프롬 홈,9,아무생각없이 봐도 좋은 영화입니다
15889018,스파이더맨: 파 프롬 홈,10,재밌어요 스파이더맨 너므 죠아 ㅠㅠ
15889017,초콜렛 도넛,10,한 사람의 일생을 편견때문에 잃은 감동적인 영화
15889016,우먼 인 블랙,4,결말이 정말 고작 이렇게까지 허무...;;해리포터는 연기를 참 잘하지만 영화는..뭔가..많이..허전하고 부족하고 허무하고 ..영상미는좋다...5점주려다 언니의 점수 2점을 반영하여 4점을주겠다
15889015,토이 스토리 4,1,진짜 이딴 영화를 IMAX로 돈날려가며 본 내잘못이다
15889014,클레멘타인,10,영화를 다보고 나서 저는 그만 물에 잠기고 말았습니다. 그 물은 다름 아닌 저의 눈물이었습니다. 저는 위로가 필요할때면 항상 이 영화를 찾습니다.
15889013,증인,10,역대급 영화 최고의 영화
15889012,스파이더맨: 파 프롬 홈,10,피터 찌리릿의 활약이 돋보이고 멋있는 작품
15889011,"당신, 거기 있어줄래요",10,다시한번 미래를 생각할수있게 해주네요
15889010,타짜,10,대한민국 Top3 영화
15889009,후궁 : 제왕의 첩,10,노출때문에 저평가된듯
15889007,극장판 소드 아트 온라인 -오디널 스케일-,10,????????????????????
15889006,애나벨 집으로,4,.. 왜 갑자기  '어린 소녀들이 함께 이겨내는 청년성공스토리' 처럼 되버린거야... 왜그러는거야... 느낌 완전 변했음... 애나벨과의 의리로 봤다..
15889005,스파이더맨: 파 프롬 홈,10,옛날 스파이더맨 1이 왜 생각이나지 ?
15889004,부탁 하나만 들어줘,10,브라더 xx ^-^ㅋ..블레이크 라이블리♡
15889003,알라딘,8,스파이더맨보다 유치하지는 않더라 ㅋㅋ
15889002,여중생A,8,그냥 잔잔한 영화 원작이 뭔지도 모르고 봐서 실망감은 없었네요 그냥 처음부터 끝까지 감정기복이 없이 쭉 ~ 흐르는 영화
15889001,돈,1,★류준열이 이 영화에서 가장 쓰레기임...회사 선임이 좋은거 알려주었으면 최소한 도리로 꽁돈 생긴 액수의 일정금액은 떡값으로 줘야지..지때문에 회사 쫒겨나도 죄책감도 없고 생무시하는거 보고..역시 검은머리 짐승은 거두는게 아니라는것을 뼈져리게 느낀다.
15889000,존 윅 3: 파라벨룸,7,존윅이 냉정함을 잃었다.
15888999,"나니아 연대기 - 사자, 마녀 그리고 옷장",10,최고에요 이 영화는 짱입니다 마블 다음으로
15888998,친절한 금자씨,10,진짜 말이 필요없는 작품 또 봐도 재밌다
15888997,식스 센스,10,괜히 스릴러는 식스센스가  최고봉이지 않나 싶네요. 반전이 기가막히다는 것은 알고 있었지만 결말을 모르고 보면 정말 충격적입니다.
15888996,스파이더맨: 파 프롬 홈,8,MJ 개인적으로 마블 히로인 중 최고로 매력있는 겻 같네요ㅠㅠ둘이 꽁냥대는 거 너무 귀여워서 다음편 얼른 보고 싶어요!!ㅠㅠ
15888995,타짜,10,10점도 모자르다 모든게 완벽 고니 평경장 정마담 아귀는 진짜 후덜덜
15888994,에이 아이,10,처음에는 섬뜩하기도하고 흥미롭고 재밌는 영화인거 같았는데 내용이 진행되면 될수록 슬픔이 깊게 남는 영화입니다. 2001년에 만들어졌다고 할 수 없을 정도의 퀄리티를 가지고 있네요. 가히 인생작이라고 할 수 있습니다.
15888993,박화영,10,뭔가 좀 아프다...
15888992,역모 - 반란의 시대,2,정해인 칼에  찔리고  곧  죽을듯  꼴딱꼴딱  하다가  나중엔  멀쩡히 왕 옆에 서있네   ㅋ 사극하고는  저언혀 안어울리고  다들  연기가  오골오골   유치  그자체  ..   영화  만들고 시사회 안했나?   어찌  이런것도  영화라고 ..
15888991,달콤한 인생,10,에릭이 스타여서 뜬금처럼 느껴지는거지. 완성도상 꼭 필요한 배역이다. 에릭연기가 어설펐던것도 아니고
15888990,로스트 인 더스트,7,자본주의 잠식에 저항하는 현대판 부치 엔 썬댄스키.  무거운 주제를 시종 가벼운 유머와 및 농담으로 담담하게 일관한다.  시대에  무력하게 희생되고 소모 되어지는  그들과 또 다른 많은 그들이 짠 하다.
15888989,박화영,1,"과하다. 강약 조절이 없이 그냥 영화 시작부터 끝까지 쎄기만 하다. 이 감독은 이 영화를 대체 왜 만들었는지, 왜 이렇게 자극적으로 만들었는지 이해불가다. 그저 자극적이기만 한 비행청소년들 브이로그."
15888988,타짜,10,올드보이 살인의 추억과 더불어 이 정도로 훌륭하게 잘 만든 한국 영화를 여태까지 못 봄.
15888987,곤지암,10,개무서웠다...휘몰아치는 후반 30분.
15888986,"나는 내일, 어제의 너와 만난다",10,2번봐야하는 영화라고 하길래 2번보고 지려버림
15888985,드림캐쳐,9,밑에 1점 준 '손본좌 새키 졸라 웃기네 극한직업따위 10점 준거 보니 니 수준 참 알만하다 ㅋㅋ
15888983,존 윅 3: 파라벨룸,10,서사를 찾을 필요가 있나?
15888982,알라딘,10,무조건 4D로 보세여 비싼 값합니다
15888981,이장과 군수,10,나 지금 다시보는데 차승원 연기 진짜 쩐다...
15888980,알라딘,10,제발 늦었지만 봐주세요 ㅠㅠㅠㅠ
15888979,빌리 진 킹: 세기의 대결,5,여성 인권에 관한 메세지를 다루고 있는데도 전체 관람수가 2만 조금 넘네요...2만중 남자가 더 많을 수도...ㅋㅋㅋ 여성인권 부르짖어도 대부분의 여성들은 이영화에 관심이없습니다...남자와 데이트하며 잘보이려고 화장질이나 열심히 하는 여자들이더많을듯.
15888978,목소리의 형태,10,가볍게 볼려다 129분동안 인생 수업을 듣다. 누구나 상처가 있고 상처를 준적이 있다. 과거를 극복해 가는 과정. 변할 수 있는 용기. 진정한 사과를 통한 치유. 오늘 밤 난 또 감성의 바다에서~
15888977,토이 스토리 4,2,보핍이 예뻐서 2점줍니다
15888976,항거:유관순 이야기,10,평점 테러하는 것들은 친일파거나 친일파후손이거나 둘중하나 한마디로 쓰레기란 뜻
15888975,할로우 맨,10,몰입도좋고 재밌는데 ㅋㅋ 평점 너무 낮네..
15888974,스파이더맨: 파 프롬 홈,1,재미없고 지루했어요 로다주의 빈자리가 넘 크네요
15888973,어벤져스: 엔드게임,10,영화는 진짜 개 재밌는데 졸라 이해안가는점 타노스손가락 튕기고 나서나 인피니티스톤 다모였을때 캡틴마블이랑 그시대로 돌아가서 가지고 오면되는데 졸라 앞뒤가 은근히 안맞음 그럼 아이언맨 죽을일도없고 가모라만 과거에서 데리고 오면 되는거아녀ㅋㅋㅋ아 짱나!!
15888971,트와일라잇,10,개꿀잼이다 ㄹㅇ루 최고
15888970,걸캅스,1,내용이 없음 그냥 딱 2000년대 초반 싸구려 한국영화
15888969,역모 - 반란의 시대,1,정해인 연기가 정말ㅋ중2병걸린연기 케이블로 봐서 다행 돈은아꼈음
15888968,스파이더맨: 파 프롬 홈,6,그닥 재밌다고는...저는 좀 지루했네요.
15888967,잘 알지도 못하면서,2,잘 알지도 못 하지만 애초에 물어보지도 않았다...
15888966,스쿠비 두,6,이 영화가 나올때는 좋은 CG였음
15888965,보이 앤 더 월드,10,이런 단순한 그림체로도 이런 큰 여운을 줄 수가 있다.
15888964,스파이더맨: 파 프롬 홈,10,기대안하고 갔는데 나름 괜찮았어요!
15888963,더 포리너,10,이게 끝이 아니기를...성룡 영원하라
15888962,크라잉 게임,10,완벽한 시나리오. 최고의 ost
15888961,컬러 퍼플,8,"스필버그는 이런 장르의 영화도 잘한다를 증명했던 작품,,"
15888960,증인,10,뒤늦게 보게된영화인데 감동적이고 멋진영화네요
15888959,스파이더맨: 파 프롬 홈,10,너무 풋풋하고 귀여운 버젼의 스파이더맨!
15888957,걸캅스,1,".,.,.,.,.,.,.,."
15888956,라이프 오브 파이,10,중후반부까진 환상적인 영상미가 다 인줄 알았는데 마마지가 찾아가보란 얘기를 괜히 한게 아니였다..
15888955,알라딘,8,뮤지컬 보는듯한 해피엔딩이라 기분좋아지는 영화
15888954,어벤져스: 엔드게임,10,개쩔탱! 역시 마블 최고다!
15888953,헤라클레스,10,헤라클레스 멕 커플 너무 좋다ㅜㅜ
15888951,스파이더맨: 파 프롬 홈,10,너무 재밌고 대단해요 너무 잘밨어요
15888950,기묘한 가족,7,아쉽다 후반부는 괜찮은데 초반부가 넘 루즈했음 쫑비 양배추 먹이는 부분이라던가..
15888949,스파이더맨: 파 프롬 홈,7,그다지 재밌진 않았고 스파이더맨 성장영화정도
15888948,김종욱 찾기,4,내용이 뭐임?  임수정이 첫사랑 김종욱찾다 공유랑 눈맞았다?
15888947,존 윅 3: 파라벨룸,6,3편은 중반 이후론 코미디물이 됐네 존윅에다 킬빌을 부어놨어 ㅜ?ㅜ 4편을 또 암시하던데 이상태라면 안본다
15888946,존 윅 3: 파라벨룸,10,아낌없이 별 5개×100 더 주고 싶다내생에 넘버원 영화 존윅3 액션영화의 표본 최고임
15888945,빈 집,10,최근에 본 기생충 영화가 생각난다~근데 김기덕의 빈집이 더 소름끼친다상상의 골프공 뺏어가는건 다시봐도 웃김.ㅋㅋ
15888944,퍼펙트 센스,7,완전히 모든 감각을 상실할 즈음에서야 완전한 사랑을 깨닫는다.   이토록 지독한 패러독스가 있나 싶다.
15888943,킹콩,10,킹콩이 보여준 순수한 사랑이 여운에 남는다
15888942,알라딘,10,진짜 인생영화 재밌고 감동적인거 다함
15888941,캐리비안의 해적: 낯선 조류,9,볼만해요 오어오옹아앙
15888940,데이브레이커스,10,뱀파이어 영화중 지금 다시봐도 신선한 영화
15888938,성냥팔이 소녀의 재림,1,입장료받고 110억원을 쌓아 태우는 쇼를해도 관객이 더 모일 것
15888936,플루토에서 아침을,8,다 좋은데 중간중간에 글씨 너무 많이 뜨는거 아닌가 난 몬가 몰입감 방해 한다 싶었음
15888935,애나벨 집으로,10,그만하고 VOD개봉좀
15888934,스파이더맨: 파 프롬 홈,10,재밌어요~~ 반전 소름!
15888933,존 윅 - 리로드,8,속편이 오히려 더 만족스러은 케이스. 깔금한 스토리와 시원시원한 전개. 그리고 군더더기 없는 액션. 쓸데없는 소리 집어치우고 깔끔하게 때려 박음. 멋짐폭발
15888932,알라딘,10,왜 지금봤을꼬 진짜 인생 현타왔는데 잠시나마 즐거웠고 힘났던 영화! 진심 꿀잼!!
15888931,걸캅스,1,어이가없노이가야!!
15888930,몬스터 랜드,10,성인이 봐도 재미있는 내용이었습니다^^
15888929,스파이더맨: 파 프롬 홈,10,피터 너무 귀여웠고 또 멋있었다?? mj 혼자 좋아할때 너무 귀여웠음ㅋㅋㅋ 이런 러브스토리도 살짝있어서 보는재미가 더해졌다 풋풋해ㅎㅎ  피터 친구들도ㅋㅋ 그리고 미스테리오 반전이였다... 쿠키영상때매 다음편 또봐야겠음 물론 볼거지만ㅋㅋㅋㅋ
15888928,루시,10,평론가들의 평점 기준이 항상 의심스럽다는 생각은 매번드네요 정말 이제서야 본걸 후회가 듭니다 물론 전문가는 아닌데 정말 최고네요
15888927,역모 - 반란의 시대,2,캐스팅미스. 야리한 젊청년이 콧수염 붙이고 허우적 액션하는데 조선최고의 검객이라니.. 칼맞고 안죽는 씬이 너무 많고 어색한 피튀기는 cg. 적과의 어색한 오글대사씬까지. 뭔가 감독이조선느와르를 만들려고 한듯하지만 결과는 대실패했다
15888926,알라딘,10,애니메이션보다 실사가 더 멋진 자스민공주
15888925,킬링 군터,10,ㅋ 간만에 웃었네요 케이블에서 볼만해요
15888924,알라딘,10,아는내용이라 기대도 안하고 그냥 볼게없어서 봤는데 ㅋㅋ 보길잘했단 생각드네요.퀄 쩔~
15888923,다크 나이트 라이즈,10,내 인생명작영화ㅠㅠ 배트맨 짱좋다 마지막 장면 너무와닿았다ㅠ
15888922,토이 스토리 4,6,"자길 위해 고생해 준 나머지 동료들에 대한 고마움도 없이 무작정 본인의 목적만을 위해 동료들의 희생만 강요하던 우디, 1~3편의 버즈는 얻다 버렸는지 '이너 보이스' 없인 아무것도 못하는 버즈. 나머지 캐릭터는 액스트라행. 부디 5편을 위한 포석이길."
15888921,학교괴담 : 저주의 언령,10,엄청 재밌게 본 일본 공포영화 중에서 하나 인데 진짜 재밌다
15888920,어벤져스: 엔드게임,10,아이언맨. 죽었다. 은재. 슬프다.
15888919,하얀 전쟁,10,한국판 지옥의 묵시록 느낌
15888918,스파이더맨: 파 프롬 홈,10,길지 않은 러닝타임이지만 알찬 스토리 덕분에 시리즈물을 보고 나온 것 같은 완결감이 있었다!
15888917,서치,10,엄마의 사랑 아빠의 사랑 영화 마더가 생각난다
15888916,토이 스토리 4,10,스파이더맨보다 백만배낫다 어릴적감동그이상
15888915,배드 사마리안,10,어리버리 주인공 모습.. 우리도 이런 모습이지 않을까? 끝까지 포기하지 않는 영웅이네.. 닥터후 아저씨 나와서 봤는데 중년섹시 터지네요. 연기 굿
15888914,토이 스토리 4,10,멋지다! 월트디즈니!
15888913,데이브레이커스,9,재평가가 필요하다..
15888912,걸캅스,1,감독뿐만 아니라 대본을 보고 이 영화에 출연하겠다 결정한 배우들도 다 거르면 될 듯
15888911,마더,10,테크니컬한 연출로 순식간에 빨아들이고 천천히 놓아주더라.  개연성없이 산만하게 흘러가는 영화들과는 차원이 다르다.
15888910,프레데터,10,두번째 베댓 개웃기다 ㅋㅋ 핵공감 나도 비디오만화책방 아주머니가 초딩이였던 우리한테 에일리언 빌리게해주셨었는데
15888909,내안의 그놈,8,울고 웃고ㅠㅠ진영 연기도 생각보다 좋았어요
15888908,알라딘,6,사실 실사영화고 워낙 유명한 이야기라서 다 알고는 있었어서 그리 기대안하고 봤는데 생각보다 재미있음. 캐릭터에 기존 애니 극장판과 다른 서사를 준 것도 괜찮은 시도였음. 무엇보다 자스민 단독 솔로곡도 임팩트도 있었음. 다만 스토리 초반부는 조금 지루
15888907,역모 - 반란의 시대,10,너무 고생해서 찍은게 눈에 보이네요.
15888906,역모 - 반란의 시대,1,이건 뭐지??  투자자들 열 받겠다
15888905,스파이더맨: 파 프롬 홈,8,스파이더맨을 보러갔는데 왜 아이언맨이 보고싶어지지ㅠ 내 아이언맨 살려내~스파이디는 너무 귀욥
15888903,너의 이름은.,10,키미노 나메에와 그냥 소름 ㄷㄷ
15888902,스페셜 시큐리티 : 라스트 미션,1,1점도 아까운 최악 그자체인 영화 무슨 일이 있어도 절대 보지 마시오
15888901,스파이더맨: 파 프롬 홈,6,내용이 너무 가볍습니다.  빌런은 포스가 없고 스토리는 연애 이야기가 80프로인 듯  하네요. 상당히 실망스러웠습니다. 그리고 보면서 계속 평창 올림픽이 생각났습니다.
15888900,스파이더맨: 파 프롬 홈,10,아들이랑 너무 재밌게 봤어요
15888899,알라딘,10,미치겠다!!!! 진짜 너무너무너무 재미있어요.2d 보고 나서 4dx로 봤는데 처음엔 좀 후회되더라구요멀미나서  괴롭구.?근데 양탄자 같이 타는 신에서 ㅠㅠ울뻔 ㅜㅜㅜㅜ 잊혀지지가 않네요막 내리기전ㅇㅔ 다시 보러 가려고요.
15888898,콜 미 바이 유어 네임,10,너무 그냥 아름답다ㅠㅠ
15888896,디스터비아,7,중반부터스릴이넘친다
15888895,성난 변호사,4,와~ 김고은 연기 예술이다.
15888894,평일 오후 3시의 연인,7,"드라마를 안 보고 영화를 평해도 되는지 모르겠지만, 일단 뻔한 스토리와 클리세가 아쉽다. 좋은 배우들의 매력 때문에 끝까지 보긴 했으나 남자와 여자 사이의 애절함도 덜 묻어나고, 조연들의 개연성도 선뜻 공감이 되지 않았다. 우에토 아야는 av배우닮음"
15888893,걸캅스,1,거짓말 안치고 모든 영화에 평가를 후하게 매기는데 이건 그냥 대놓고 메갈을 위한 영화입니다. 라고 붙여놧네. 극혐이다
15888892,존 윅,10,올해 본 영화중에 제일 재밌었다..
15888891,갤버스턴,9,설명   군더더기  없는  영화   굿 굿   영화팬들 강추
15888890,구름 속의 산책,10,모든 장면이 따스한 명화 같음
15888889,사생결단,7,개인적으로 별로 좋아하지 않는 스타일인데 그런것과 상관없이 발로 뛴 취재와 사전준비 작업이 돋보이는 영화다.상도가 장철의엄청난 약의 마약을 손에 넣은 채로 일본에 팔아 먹으면 그대로 마약왕 이두삼.어차피 미국의 마약왕 프랭크 루카스 만나면 밥이다...
15888888,알라딘,10,왜진작안봤을까요.. 영상미 훌륭합니다^^ 여주 미모 최강....크크크
15888887,터미널,10,아름다운 영화. 모든 캐릭터가 각자의 역할에 충실하고 매력있음. 그중에서도 주인공이 최고.
15888886,에스코바르,7,"도덕성 1도 없이 부정한 방법으로 어마무시한 돈과 권력을 취한 자, 한 나라를 얼마나 빨리 망가뜨릴 수 있는지 궁금하다면..."
15888885,천로역정: 천국을 찾아서,10,스토리도 연출도 진부하지 않고 재밌었어요 모든 연령대가 빠져들어 볼거같아요! 최고!
15888884,스파이더맨: 파 프롬 홈,10,최고다 진짜 최고의 액션 최고의 연기 톰 홀랜드
15888883,23 아이덴티티,6,연기는좋았으나..그게다임
15888882,고백,10,생각하고 생각하게 만드는 영화. 나 자신을 무언가 걷어내서 바라보고 or 보게 싶은 열망이 드는 영화네요. 명작  영화보고  이렇게 깊게 감병받아보기는 첨인듯
15888880,알라딘,10,배우들 케미도 정말 최고였고 너무 아름다운 영화다.
15888879,악인전,8,배우들 연기가 빛나네요.
15888877,역모 - 반란의 시대,1,지금 보다가 그냥 껐어요
15888876,셰이프 오브 워터: 사랑의 모양,9,나라면 편견없이 한 사람을 대할 수 있을까 밑에 층 극장에서 물이 떨어지든 집안이 홍수가 나든 상관없이 화장실에서 껴안고있던 둘의 모습을 어찌 잊을까 동화적이고 클래식한 분위기..그리고 편견없는 사랑을 전하는 확실한 메세지까지.. 나도 사랑하며 살련다
15888875,알리타: 배틀 엔젤,5,"처음엔 그럴 듯했다. 지구와 화성의 운명을 건 전쟁. 근데, 이런 미래 사이보그 세계관을 만들어놓고 롤러스케이트 타고 공놀이 하는 이야기였음."
15888874,마마,8,무서웠고 슬펐다. 릴리의 해맑은 모습이..
15888872,리틀 포레스트,8,난 이걸 보면 행복하다. 그럼 된 거 아닐까
15888871,드래곤볼 슈퍼: 브로리,10,브로리 넌 최강자다!...더욱더 성장해서..담편에도 등장했으면 좋겠음...
15888870,어벤져스: 엔드게임,9,타노스 최후는 아이언맨 최후처럼 여운이 남았다... 근데 인피니티워보다 타노스 캐릭터가 단순해진것 같아서 아쉽
15888869,박하사탕,8,한국영화의 어떠한 한 정점. 마지막 장면은 마치 '원스 어폰 어 타임 인 아메리카'의 로버트 드 니로를 보는 것 같았다.
15888867,1408,10,무섭다.. 평점이 왜낮은지 이해안됨ㅜㅜ
15888866,롱 리브 더 킹: 목포 영웅,10,난잼게봤는뎅 노잼댓글모지~~~!!닥터스때부터 김래원 조아했는데 까먹고 살았구나 ㅜㅜ김래원팔로우해써용..너무조아 ㅡㅡㅜㅜ영화도 재미감동 모두 있다규.. 엄마랑봐서 더조았따용
15888865,그해 여름,8,이병헌 수애 미치게 설레고 안쓰럽다.
15888864,스파이더맨: 파 프롬 홈,10,가상조작 능력을 이용하는 적과 싸운 우리의 정의로운 스파이더맨! 하지만... 정체가 들켰으니 어찌할꼬... ㅋㅋㅋ 어쨌든 요약하자면 즐겁게 볼 수 있는 영화입니다.
15888863,데이브레이커스,7,가장 좋았던 장면은 뱀파이어가 다리 위에서 차를 몰고 교각을 들이 받고 자동차 정면 창문을 뚫고 강으로 빠지기 직전 햇볕에 노출되었을때 전신에 불이 붙은채로 강물로 빠지는 장면.뱀파이어는 햇볕에 노출되면 온몸에 저절로 불이 붙는다는 설정을 제대로 살림
15888862,스파이더맨: 파 프롬 홈,4,노잼노잼핵노잼오프닝쿠키두개만볼만함
15888861,스파이더맨: 파 프롬 홈,8,그저그랬움...믿고보긴하는데 어벤져스가 너무 잘만들어서 그닥
15888859,스파이더맨: 파 프롬 홈,1,캡틴마블부터해서 마블영화가 점점 유치해짐
15888857,아름답다,4,아름답지 않아....
15888856,브로큰 잉글리쉬,7,로맨스에 함께 젖는다.
15888855,상류사회,6,볼만하고 몰입도 있엇음. 지루하지않고
15888854,알라딘,5,지루하고 지루하고 지루함.. 윌 스미스만 제몫 한 영화
15888853,알라딘,10,내 기준에서 단언컨데 디즈니 만화 원작을 뛰어넘은 영화
15888852,쿠르스크,10,보다가 슬퍼서 쉬었다 봄... 막막하다...
15888851,1987,6,볼만은 하나 편향적인게 보인다. 전문가들의 성향도 뚜렷히 보인다.
15888850,토이 스토리 4,6,재밌어요 재미만 있어요..ㅠㅠ 4안본눈 살게요3이 저에겐 마지막편이에유
15888849,스파이더맨: 파 프롬 홈,10,그냥 토미가 너무 예쁘고 귀엽고 멋있다
15888848,토이 스토리 4,10,4편이  마지막이라고  하던데  제발  계속  나왔어면좋을것  같아요  10년에  한번이라도   너무  재미  있어요  감동~~
15888846,롱 리브 더 킹: 목포 영웅,1,예매율이 정확하게 반영하네요
15888845,한나,7,마리사 내스타일이야 넘좋아 그래서 7점
15888844,뺑반,10,나름대로 재미있게 보았습니다.
15888842,토이 스토리 3,10,"누구에게나 필요했고, 누구에게나 사랑 받고, 그것은 이어진다"
15888841,애나벨 집으로,1,이게 공포영화냐;;; 7천원 아까움
15888840,존 윅 3: 파라벨룸,10,흥미롭고 다양한 장면들과 마치 여행을 다녀온 느낌
15888839,세상을 바꾼 변호인,10,개인적으로나 사회적으로나 다각도로 생각할 거리를 제공하는 의미있는 영화였습니다.
15888838,콜 미 바이 유어 네임,10,개인적으로 동성애 영화는 잘 안보는데..이 영화는 거부감이 느껴지지도 않고 배경이라던지 영화 자체가 그냥 너무 예쁨..마지막의 올리버와의 전화를 받고 그리움 + 행복해하는 모습과 모닥불 앞에 앉아서 슬퍼하는 엘리오의 표정을 잊을 수가 없네요...ㅠ
15888837,스파이더맨: 파 프롬 홈,4,마블영화중 가장 쓰레기영화 마블은 토니에게서 벗어나지 못하고 스파이더맨은 스파이더맨이 아니라 제2아이언맨 이었다
15888836,스파이더맨: 파 프롬 홈,10,다음편도 기대된다~^^
15888835,스파이더맨: 파 프롬 홈,9,미스테리오라는 최고의 빌런
15888834,찰리 바틀렛,5,Charlie Bartlett.
15888833,파이터,9,이 영화의 정말 대단한 점은 지나치게 영화적인 이 이야기가100%실화에 기초한 트루스토리 라는 점.감독은 그 점을 강조하기 위해 영화 엔딩 이후에 마치 해리가 샐리를 만났을때 엔딩후 커플들의후기처럼 쿠키 영상을 삽입해 놓았는데 실제 미키와딕키가 출연함
15888832,스파이더맨: 파 프롬 홈,10,재밌다 스파이더맨의 귀여운모습 성장해 멋있는모습 다볼수있는 영화
15888831,도신 - 정전자,9,유치하고 전개가 너무 빠르지만 언제봐도 재밌는 영화 ㅋㅋ 쌍권총 난발하고 카드 셔플하는 주윤발 행님 너무 멋집니다
15888830,역모 - 반란의 시대,1,아니 피흘리는거 실화가 연고바르면 되것네
15888829,알라딘,9,실사화 영화의 성공작이다.
15888828,스파이더맨: 파 프롬 홈,10,마블이 마블했다!존잼
15888827,생일,10,아이 둘 키우는 아빠로 시원하게 울었다... 아직 메마르지 않은 감정을 확인한 날이었네요
15888826,호텔 뭄바이,10,이슬람은 절대 공존할수 없다~~~~
15888825,알라딘,10,2번봤는데도 또보고싶어요..존잼 ㅠㅗ
15888823,갤버스턴,6,"김새론의 아저씨와 포트만의 레옹까지, 동서양을 막론하고 순정마초에 대한 로망은 꾸준히 먹히는 소재인 듯... 빈약한 스토리를 배우의 연기가 살렸다."
15888820,미스 슬로운,6,차스테인의 연기는 정말 압권이었습니다.
