번호,제목,평점,평가
15911412,라이온 킹,8,애니는 죽었다 깨어나도 못이김 ㅋ
15911411,라이온 킹,10,아기심바 졸귀탱 ㅠㅠㅠㅠ 이거 진짜 명작인데 2시간으로 풀기에 너무 아쉬운 느낌이었음 ㅠㅠㅠ
15911410,한낮의 피크닉,9,"내가 필요하면 전화해 편은 내얘기, 내얼굴인줄 ㅠㅠ 갇힌줄도 모르고 여기 있다는걸 알아봐주길"
15911409,라이온 킹,10,"라이온킹을 2,3회 본 기억으로 봤는데애니의 장면 장면들이 오버랩 되면서 완전 몰입해서 봤어요~~~개인적으로 저는 정말 재밌게 봤습니다^^평소 라이온킹 ost도 즐겨들었고 좋아했는데영화관에서 웅장하게 들으니 확실히 다르네요~~"
15911408,라이온 킹,10,잔잔한 감동 탄탄한 스토리 ! 너무 재미있어요한번 더 볼까 생각하게 만드는 영화 ㅎ
15911407,덱스터 시즌1,7,Dexter 201301
15911406,그린 북,10,정말 재밌는 영화!!토니가 아라곤이었다니 ㅎㅎ
15911405,위대한 쇼맨,10,극장서봐서 진짜 다행이다
15911404,업,7,적당히 재미있게 봤어요. 처음 부분이 인상적이었음.
15911403,사일런스,3,기대했는데 별로에요. 스토리에 개연성도 없고 인물들의 개성도 없습니다. 다른 영화들의 요소들만 가져왔어요. 소리를 참거나 만드는 것도 인물들 마음대로더군요. 이럴거면 왜 사일런스라 제목 붙인건지 이해가 안갑니다..
15911401,극한직업,10,개꿀잼ㅋㅋ  킬링타임 최고네여
15911400,라이온 킹,10,감동적이였어요ㅠㅠㅜ 보다가 눈물 흘렸습니다..
15911399,라이온 킹,4,지루했어요. 알라딘을 봤어서 비교돼서 더 재미없게 느껴진건가..아니..그냥 노잼...
15911398,라이온 킹,6,전반적으로 괜찮았으나디테일이 아쉬웠음특히 대사가..
15911397,라이온 킹,10,존잼이었다!!근데 표정없는건진짜임..그래도OO존잼!!!!쓰따봉
15911396,라이온 킹,9,25년만에 다시보는 재미가 있었습니다애니랑 다른 느낌은 실사라 어쩔수 없지만심바 목소리가 살짜 아쉬웠네요
15911395,걸캅스,1,그냥 제발... 좋은 배우들로 이딴 남성혐오 권장하는 영화 만들시간에 더 노력하셔서 좀 남녀노소 거리낌 없이 재밌는 영화를 만드는게 더 좋을듯 하네요....
15911394,극장판 엉덩이 탐정: 화려한 사건 수첩,1,어릴때부터 부모가 역사의식 제대로 가르쳐야 한다고봄. 이딴 일본영화 버거싶어한다고 다 보여주지말고 왜 보면안되는지 알려주고 아이와 같이응원해야한다.극장판 보고싶어하는 초딩정도면 말 다알아들음.
15911393,스파이,10,뭐야 투톱 남배우 중 왜 스파이로 멜리사 맥카니가 갑자기 투입되나 했더니ㅋㅋ... 이런 스토리였구나.. 제이슨 스타뎀도 곁들여 구강액션이 진짜 데드풀도 쳐 씹어먹는다.. ㅋㅋ 고스트 버스터즈같은 수작이 발끝도 못 따라가는 수작이구나.
15911392,라이온 킹,7,실사화는 매우 잘했으나 리얼을 살리려다보니 캐릭터들의 표정이 없고... 표정이 없으니 캐릭터 본연의 매력은 반감된 느낌.. 그래도 OST부터 라이온킹이란 명작을 실사로 볼 수 있었음에 의미를
15911391,다이너소어,10,라이온킹 정글북 다 리메이크되는데 이건 이미 원작부터 실사화지만 이것도 리메이크해줬으면 ㅜㅜㅜ
15911390,라이온 킹,10,품바와 티몬의 하드캐리 !
15911389,라이온 킹,10,재밈ㅅ다앙ㅇ하쿠나마타타
15911388,알라딘,10,너무 재밌어서 부모님 모시고 한번 더 보러갔어요!
15911387,스파이더맨: 파 프롬 홈,10,반전에 반전! 드론 거미줄 조합 놀랍당ㅋㅋㅋㅋ재밌었음
15911386,라이온 킹,10,하쿠나 마타타~~전 개인적으로 만족스러웠습니다...오에스티 너무 좋아요
15911385,미드소마,7,집단주의의 모순과 정신적 폐혜를 공포적 관점에서 새롭게 조명한 영화.
15911384,라이온 킹,10,실사가 리얼해야지 이게 애니니??애니타령하고있네 ㅋㅋㅋ
15911383,라이온 킹,10,@@@@^^@@@@
15911382,라이온 킹,6,원숭이가 징그러운 이유는 인간과 가장 닮았기 때문이다. 실사가 고도화 될수록 이질감도 증가한다.
15911381,미드나잇 인 파리,1,"남주가 다른 여자를 위해 약혼녀 귀걸이를 훔쳐서 주려고 하는거나.. 약혼녀에게 이별을 고하고 호텔을 나오자마자 또 다른 여자와 커피 한잔 하러 가는건지. 왜 파리의 아름다운 풍경과 1920년대의 유명한 예술가들을 재치있게 그려놓고, 불륜으로 망치는지."
15911380,간신,9,잘 만든 영화. 주지훈 연기력 다시 봤고. 김강우 연산군 역은 표현의 자유가 많은 영화라는 장르 특성이기도 하지만 아주 굿. 소재는 채홍사인데 아들 숭재가 연산군에게 간신짓 한걸 참회하는 미화스토리로 나온게 좀 아쉽긴 하다. 그래도 잘만든 영화.
15911379,라이온 킹,7,동물은 사람보다 위대할 수 없다.. 알라딘 보다가 동물만 2시간 보려니... 내가 뭐하는건가 하는 생각이 들더라
15911377,알리타: 배틀 엔젤,10,개꿀잼. 12세영화인데 보다보면 애들 보면 좀 그런 장면들도 있음. 또 전개가 조금 이상하기도 하고차라리 2편 15세나 성인용으로 만드는게 좋을듯기대할게요~
15911376,라이온 킹,10,재미 감동 여운..!!! 또 보고싶다!
15911375,스파이더맨: 파 프롬 홈,10,진짜 톰홀랜드 너무 멋있고 너무 순수해 ㅠㅠ 고백을 그렇게 귀엽게 하는게 어딨냐고 ㅠ 보는 내내 미소가 끊이질 않았던 영화
15911374,라이온 킹,10,애니메이션과는 또 다른 재미가!
15911373,라이온 킹,7,동심으로 돌아갈수  있어서 참 좋았다
15911372,라이온 킹,10,무조건보시길 강추 ㅋㅋㅋ
15911371,롱 리브 더 킹: 목포 영웅,2,댓글연병들하네 지금시대에 이수준이라니..vod결제 만원했는데 공짜라도안봄..수준한참미달..
15911370,라이온 킹,4,애니메이션 반도 못따라감. 이건 그냥 KBS '동물의 왕국' 고퀄 버전.
15911369,라이온 킹,10,최고입니다 너무 재미있어요
15911368,라이온 킹,8,하쿠나마타타 부를 때 달빛 아래서 왜 심바가 고개를 흔들지 않는단 말이냐... ㅠㅠㅠㅠ  존나 중요한 장면인데 ㅠㅠㅠㅠ
15911367,토이 스토리 4,10,넘나 감동적인 영화 ㅠㅠ
15911366,알라딘,10,제 인생영화..노래 넘나 좋아용
15911365,라이온 킹,10,티몬과품바의 하드캐리
15911363,라이온 킹,8,굉장히 내셔널 지오그래픽이라 믿을정도로 CG는 뛰어났습니다. 하지만 애니와 뮤지컬보면서 제가 좋았던건 OST였는데 이번 영화는 오프닝 빼고는 감동을 크게 못느껴서 아쉬웠습니다. 연출의 아쉬움이..너무 큰 기대하고 아이맥스 3d로 봤는데 조금 아쉽네요
15911362,걸캅스,1,개봉이 5월 9일인데 평점 10점 댓글이 5월9일 아침9시에 수백개네 ㅋㅋ 미친 페미들
15911361,라이온 킹,10,디즈니를 사랑한다면 꼭 봐얗납니다
15911360,라이온 킹,4,"아~ 너무 기대가 컷나요~? 영상은 너무 실물같아 좋았지만, 내용 구성상 루즈함이 느껴져, 옮겨가며 다리를 12번 꼬았습니다.OST도 아쉬움이 남는 작품이였습니다. ㅠㅠ"
15911359,라이온 킹,10,솔직히 음악 하나만으로도 높은 점수를 받아 마땅ㅋㅋㅋ
15911358,라이온 킹,10,어린히절 봤던 라이온 킹을 실사로 본 다는거 자체가 좋았네요ㅎㅎㅎ
15911357,비스트,1,요즘 한국 영화 수준이 왜이러지;;
15911356,라이온 킹,10,알라딘에 이어 실사 애니메이션 명작을 만들어냈다...디즈니 짱....
15911355,라이온 킹,10,애니보다 더 업그레이드된ㅋㅋㅋ 애니를 보고 느꼇던 그 향수를 다시 느낄 수 있어 좋았다
15911354,클레멘타인,10,죽음의 시간이 정해져 있다면 마지막 100분은 이 영화를 위해 남겨둬야 합니다죽기전에 꼭 봤으면 하는 영화입니다
15911353,하울의 움직이는 성,10,"영화를 보면서 이렇게 마음이 평온하고, 벅찬 감정을 느낄 수 있다니 감사하다!"
15911352,용서는 없다,10,복수는 류승범처럼... 대한민국은 법이 존재 하지 않는 미개한 국가이기에.... 스스로 응징 해야 한다.
15911351,비스트,2,언제 발전하냐?어?응?이게 영화냐?
15911350,리얼,1,감독에게 묻고싶다 하고싶은말이뭐냐
15911349,비스트,1,이성민은 연기는 너무 오버 스럽고 이제 특유의 연기는 신물이 날 지경이다.
15911348,사일런스,2,별하나도 아깝다 이게 진짜 평이다
15911347,기방도령,10,"스토리는 3점. 배우들 연기와 케미는 10점. 연출은 6점드립니다. 액자식 구성 식상하구요, 금기를 소재로 잡았으면 시원한 사이다반전이 있던지 해야했는데 이도저도 아니고 못 먹는 감 찔러본 느낌? 차라리 작정하고 웃겼어야 했어요."
15911346,알라딘,10,자고 있던 동심이 깨어나게 해준 영화
15911345,초능력자,10,여러번 다시봐도 잼있는데. 사람들의 취향은 다양하구나 ㅋㅋ
15911344,나이트메어 시네마,2,오늘 여의도cgv에서  8시10분꺼 봤습니다  영화시작하고 10분만에  '아 OO 똥밟았다' 느꼈습니다  정신질환있는 초등학생들이 만든영화인게 분명합니다 부디 귀중한 돈과 시간과 정신건강을 지키시기바랍니다  두번째 파트가 '그나마' 볼만해서
15911343,기생충,9,이건뭐..좋은 영환데 좋지가 않다.
15911342,기생충,10,여러모로  충격적인 영화
15911341,라이온 킹,10,완전 재밌어요 알라딘이 9점이면 라이온킹은 9.8점! 저는 너무좋았어요 *.* 동물 좋아하시면 꼭 보세요 ! 옛 생각나고 감동적이였어요 (저는 30대 감성입니다ㅋ)
15911340,로그 원: 스타워즈 스토리,8,전투신이 정말 볼만합니다. 근데 마지막 부분은 더 압권입니다.
15911339,라이온 킹,6,사실적인 cg 빼고는... 많이 아쉬운 ㅠㅠ
15911338,라이온 킹,10,애니메이션 보다 부족한건 인정. 근데 깨시민 양산하는 정치병 걸린 한국 영화보다야 훨씬 재밌음 10점 ㅅㄱ
15911337,토이 스토리 4,10,적당햇다 내용은 3가 더재밋긴함
15911336,비스트,10,이거 진짜 재밌는데...2시간이 순삭되었어ㅋ 평점 테러 한 애들은 이런 불편한 스토리 싫어하는 알라딘같은 미지의 이야기만 꿈꾸는 인간들 ㅋㅋ 영화보지마라
15911335,토이 스토리 4,8,아이들이재밌다고하네요
15911334,라이온 킹,10,어릴때 기억이났습니다... 최고입니다
15911333,방황하는 칼날,10,대한민국은 법이 존재 하지 않는 국가....  스스로 응징 해야 한다...
15911332,요로나의 저주,6,여러모로 아쉬움이 남는 요로나
